index,osmid,y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
3768,616883248,51.2417528,6.7376306,4,crossing,,POINT (6.7376306 51.2417528),45.333333333333336,False
646,241791762,51.2234674,6.8041687,3,,,POINT (6.8041687 51.2234674),16.333333333333332,False
2002,279076550,51.203034,6.803013,4,,,POINT (6.803013 51.203034),15.0,True
2540,323000394,51.2064952,6.7966657,4,,,POINT (6.7966657 51.2064952),8.666666666666666,True
15223,7703440519,51.2353544,6.7425862,3,,,POINT (6.7425862 51.2353544),34.333333333333336,False
15860,8040518540,51.2171136,6.7674843,3,,,POINT (6.7674843 51.2171136),6.333333333333333,True
7063,1601091864,51.2470755,6.796104,3,,,POINT (6.796104 51.2470755),7.666666666666667,True
9906,3154292224,51.2223154,6.8128765,4,,,POINT (6.8128765 51.2223154),25.0,False
6475,1578680407,51.2463347,6.7865471,3,,,POINT (6.7865471 51.2463347),0.0,True
11186,3445480933,51.211004,6.7340394,3,,,POINT (6.7340394 51.211004),37.0,False
15657,7832240990,51.2111675,6.7566973,1,,,POINT (6.7566973 51.2111675),25.0,False
3344,534763313,51.2457732,6.7332574,1,,,POINT (6.7332574 51.2457732),47.666666666666664,False
9438,2671671365,51.2124239,6.7975809,3,,,POINT (6.7975809 51.2124239),7.666666666666667,True
10884,3385740636,51.2002756,6.7551514,3,,,POINT (6.7551514 51.2002756),16.0,False
14804,7184343618,51.2512758,6.7966282,3,,,POINT (6.7966282 51.2512758),20.666666666666668,False
10173,3210026131,51.2053134,6.8092313,3,,,POINT (6.8092313 51.2053134),20.333333333333332,False
